,category,text,wiki_ids,wiki_names
0,politics,"МОСКВА, 27 мая — РИА Новости. Депутат Госдумы обязан присутствовать во время пленарных заседаний палаты, за прогул у парламентария могут вычесть среднедневной заработок, комиссия ГД по регламенту ведет специальный учет по количеству присутствующих и отсутствующих на каждом заседании, рассказала РИА Новости замглавы комиссии Раиса Кармазина.Ранее спикер Госдумы Вячеслав Володин заявил, что в основе работы ГД должна быть самоорганизация и дисциплина, депутаты должны посещать заседания палаты, а для ""прогульщиков"" существуют штрафы.Присутствие депутатов на заседаниях фиксируется специальной справкой, которую комиссия передает спикеру палаты. Такая справка с записью присутствующих и отсутствующих по каждой фракции подписывается председателем Думы, отметила она.""Каждое утро, обязательно, мы докладываем спикеру (у него такая справка лежит), сколько человек официально в командировке. Когда пленарное заседание, мы не имеем права уезжать, мы обязаны работать. Если он уехал и ему не подписали командировку, это будет считаться прогулом"", — добавила депутат.Парламентарий уточнила, что прогулом не считается поездка депутата по государственному заданию, официально оформленная командировка, отпуск за свой счет.Кроме того, по ее словам, поскольку депутаты обязаны работать с избирателями в регионах, ""все губернаторы знают"", что парламентариев лучше приглашать на встречи во время региональных недель.Помимо этого вопрос прогулов может быть вынесен на обсуждение мандатной комиссией, уточнила Кармазина.""У нас есть мандатная комиссия, это ее вопрос, мы фиксируем, сколько присутствовало, сколько отсутствовало по уважительным причинам. Сколько мы справку делаем, (случаев отсутствия депутатов — ред.) без уважительных причин нет — либо болезнь, отпуск за свой счет"", — резюмировала она.Глава мандатной комиссии Отари Аршба подтвердил, что в комиссию может поступить обращение, ""если нарушение состоялось и нужно принимать решение"".","['Q982461', 'Q4071023', 'Q4215364']","['Вячеслав Викторович Володин', 'Аршба Отари Ионович', 'Кармазин Юрий Анатольевич']"
1,politics,"МОСКВА, 26 мая - РИА Новости. ""Западным друзьям"" России пора избавляться от параноидальной привычки видеть угрозу в любом процессе, который они не контролируют, заявил глава МИД РФ Сергей Лавров.""Готовится очередной саммит этой ""пятерки"" (БРИКС - ред.) В его рамках будет создан формат ""аутрич"", в котором будет принимать участие целая дюжина развивающихся государств. Эти процессы идут. Знаем, что у наших западных друзей много всяких фобий, комплексов: собственного превосходства, непогрешимости. Но у них еще есть паранойя. В любом процессе, где Запад не участвует и не контролирует, они видят фронду, угрозу своему доминированию. Пора от этих манер и привычек избавляться"", - сказал он в интервью RT Arabic.",['Q58217'],['Сергей Викторович Лавров']
2,politics,"МОСКВА, 26 мая/ Радио Sputnik. Канцлер Германии Олаф Шольц поддерживает Владимира Зеленского, потому что ""польско-прусскому союзу выгодно, чтобы Украины не существовало"", заявил зампред Совбеза РФ Дмитрий Медведев.Он отметил, что за ответом на вопрос, зачем Шольцу Украина, ""далеко ходить не надо"".Ранее канцлер ФРГ заявил, что в ближайшее время не планирует ехать с визитом в Киев после того, как власти Украины отказались принять президента Германии Франк-Вальтера Штайнмайера.Украинский посол в ФРГ Андрей Мельник в ответ назвал Шольца ""обиженной ливерной колбасой"", намекая на ничем не обоснованную обидчивость главы немецкого правительства.Ранее радио Sputnik сообщило, что Польша и ФРГ не смогли договориться по поводу поставок немецких танков.Коротко и по делу. Только отборные цитаты в нашем Телеграм-канале.","['Q4384595', 'Q23530', 'Q117559', 'Q76658', 'Q61053']","['Владимир Андреевич Пучков', 'Дмитрий Анатольевич Медведев', 'Андрей Афанасьевич Мельник', 'Франк Вальтер Штайнмайер', 'Олаф Шольц']"
3,politics,"МОСКВА, 26 мая - РИА Новости. У России есть планы развивать сотрудничество с Оманом в области торговли и энергетики, заявил глава МИД РФ Сергей Лавров.""Что касается Омана, это был первый визит после вступления на престол нового Султана Хейсама бен Тарик Аль Саида, принявшего меня любезно и уделившего мне много времени... Подробные переговоры показали, что у нас хороший потенциал для развития торгово-экономических связей. Хотим, чтобы они подтягивались к уровню нашего доверительного политического диалога. Есть немало возможностей в энергетической области, в информационно-коммуникационных технологиях"", - сказал он в интервью RT Arabic.Лавров пояснил, что визита оманского лидера в Россию на данном этапе не предусмотрено, но есть планы развивать практическое сотрудничество с Оманом.","['Q57331', 'Q4252323', 'Q58217']","['Кабус бен Саид', 'Николай Павлович Лавёров', 'Сергей Викторович Лавров']"
4,politics,"МОСКВА, 26 мая - РИА Новости. В основе работы Госдумы должна быть самоорганизация и дисциплина, депутаты должны посещать заседания палаты, а для ""прогульщиков"" существуют штрафы, рассказал спикер ГД Вячеслав Володин.Как подчеркнул Володин, в основе работы палаты должна быть самоорганизация и дисциплина. Политик напомнил, что для депутатов-прогульщиков существуют штрафы.""Есть командировки, есть и отсутствие за свой счет, есть и штрафы, которые мы не применяли к прогульщикам"", - отметил он.",['Q982461'],['Вячеслав Викторович Володин']
5,politics,"МОСКВА, 26 мая - РИА Новости. Санкции против России будут одним из системных способов борьбы против ее развития и борьбы за мировое лидерство, каждый новый пакет ограничительных мер - это попытка в максимальной степени ослабить нашу страну, это будет продолжаться долго, считает председатель партии ""Единая Россия"" и зампред Совбеза РФ Дмитрий Медведев.""Понятно, что каждый новый пакет антироссийских санкций - это попытка в максимальной степени ослабить нашу страну, попытка при помощи блокад, санкционных ограничений, различного рода нормативных актов, законов выстроить совершенно другую систему отношений в мире и систему влияния на нашу страну"", - сказал Медведев на заседании форума ""Единой России"" ""Предпринимательство в новой экономической реальности"".Он отметил, что поводом для введения санкций является то или иное политическое событие, иногда подчас незначительное, хотя к нынешней ситуации это не относится - тогда как длительность их действия зависит от ""гигантского числа причин"".""Нам понятно, что и эти санкции, которые введены против нашей страны, будут одним из системных способов борьбы за мировое лидерство и борьбы против развития нашего государства, нашей страны. Причем это будет продолжаться очень и очень долго"", - добавил Медведев.Он также назвал антироссийские санкции гораздо более сложным вызовом, чем пандемия коронавируса.""Мы действительно прошли через это испытание, но сейчас нам приходится отвечать на гораздо более сложные вызовы, причем, скажем прямо, отвечать самостоятельно, поскольку, как ни крути, с пандемией пыталось бороться все человечество... Но тем не менее, здесь хотя бы не было идеологических расхождений таких явных. А то, что сейчас происходит - это совсем другая история"", - сказал Медведев.",['Q23530'],['Дмитрий Анатольевич Медведев']
6,politics,"МУРМАНСК, 26 мая – РИА Новости. Губернатор Ненецкого округа Юрий Бездудный на сессии собрания депутатов НАО сообщил, что намерен сокращать чиновничий аппарат, начав с одного из своих заместителей, и предложил депутатам последовать его примеру, говорится в сообщении пресс-службы администрации.В ходе сессии собрания депутатов НАО Бездудный одной из общих задач обозначил сохранение сбалансированности окружного бюджета и выступил с инициативой по сокращению административно-управленческого аппарата органов государственной власти округа.""Начинать надо с себя, поэтому я первым пойду по этому пути. В ближайшее время сокращу должность одного из своих заместителей. Это моя инициатива. А вам предлагаю сократить количество депутатов следующего созыва"", - сказал Бездудный, пообещав поддержать это решение, если оно последует, назвав его ""своевременным и абсолютно правильным"".Глава НАО также отметил, что бюджет округа на сегодняшний день сбалансирован, однако главная задача – сохранить все социальные выплаты для жителей, все субсидии – поддержку сельского хозяйства, в том числе оленеводства и молочной промышленности.","['Q19861744', 'Q941595']","['Юрий Васильев', 'Симон Будный']"
7,politics,"МОСКВА, 26 мая - РИА Новости. Председатель ""Единой России"" Дмитрий Медведев считает, что ЕР должна пересмотреть свою программу, с которой победила на выборах в Госдуму, поскольку ситуация сейчас форс-мажорная.""Это (программа) не догма, это живой документ. Нам сейчас нужно посмотреть, что в этом документе прошло проверку временем, а что стало менее актуальным. Очевидно, обстоятельства изменились, ситуация в этом смысле форм-мажорная. И целый ряд позиций нужно сообразовать с тем, что происходит"", - сказал он на встрече с президиумом фракции партии в Госдуме.Медведев добавил, что это не означает, что партия должна ""откатывать обязательств, которые брала"".""Мы должны их исполнять, стараться исполнять максимально тщательно, качественно"", - сказал он.Медведев также заявил, что фракция партии должна заниматься строительством законодательного фундамента. ""Ситуация весьма и весьма непростая, вы каждый день этой ситуацией занимаетесь... Есть оперативные решения - акты правительства. Но этими актами не заменить законов... Законодательный фундамент для нашей фракции и парламента в целом остается ведущей задачей на ближайшее время и на длительную перспективу"", - сказал он.Медведев попросил всех активнее заниматься партийной деятельностью - участвовать в форумах и заседаниях комиссий.",['Q23530'],['Дмитрий Анатольевич Медведев']
8,politics,"МОСКВА, 26 мая - РИА Новости. Участники кадрового конкурса ""Лидеры России"" готовы работать в органах исполнительной власти Донбасса, заявил секретарь генсовета ""Единой России"" Андрей Турчак.Так, отвечая на вопрос, какие возможности может дать партия ""Единая Россия"", Турчак отметил, что ""лидеры"" уже занимают должности в исполкоме партии, а также имеют шансы стать депутатом Государственной думы следующего созыва, занять руководящие позиции в партии или в отделениях федеральных органов в своих регионах.В четвёртом сезоне кадрового конкурса ""Лидеры России"" приняли участие более 180 тысяч управленцев, в суперфинал, который начался в четверг, вышли 300 человек, сообщил ранее первый замглавы администрации президента России Сергей Кириенко.","['Q313915', 'Q4466480']","['Сергей Владиленович Кириенко', 'Андрей Анатольевич Турчак']"
9,politics,"МОСКВА, 26 мая - РИА Новости. Точные сроки оглашения президентом РФ Владимиром Путиным послания Федеральному собранию пока не устанавливались, до конца года еще есть время, сообщил журналистам пресс-секретарь главы государства Дмитрий Песков.""Нет, президент в даном случае соблюдает все установленные Конституцией сроки, он должен в течение года выступить. Еще по времени есть запас, пока точные сроки не устанавливались"", - сообщил Песков, отвечая на вопрос, есть ли какая-то конкретная причина, почему президент до сих пор не обратился с посланием.","['Q23530', 'Q7747']","['Дмитрий Анатольевич Медведев', 'Владимир Владимирович Путин']"
